Model_Fold	MCC_N	MCC_Mean	MCC_Median	MCC_SD	MCC_Min	MCC_Max	MCC_Range	AUC_N	AUC_Mean	AUC_Median	AUC_SD	AUC_Min	AUC_Max	AUC_Range
Fold07	10	0.704552264560558	0.741739222618204	0.0995619670492826	0.546507180803783	0.833974805083448	0.287467624279665	10	0.92631981981982	0.923997747747748	0.0414428303070572	0.858378378378378	0.976216216216216	0.117837837837838
Fold09	10	0.718028493720229	0.740648088057562	0.112253023235951	0.488363080605505	0.899314843778792	0.410951763173287	10	0.92363963963964	0.923231981981982	0.0367219017773074	0.861486486486487	0.978918918918919	0.117432432432432
Fold03	10	0.725358657834288	0.740648088057562	0.102922885377363	0.523394918674709	0.899314843778792	0.375919925104083	10	0.921878378378378	0.918783783783784	0.0369732102953044	0.856418918918919	0.974054054054054	0.117635135135135
Fold10	10	0.712525627677564	0.740577448670698	0.0846354466375366	0.581257095466836	0.803254498411176	0.221997402944339	10	0.927247747747748	0.916295045045045	0.0403195746571434	0.865945945945946	0.978918918918919	0.112972972972973
Fold02	10	0.715202720709288	0.734643739289917	0.107821725294708	0.523394918674709	0.899314843778792	0.375919925104083	10	0.921515765765766	0.921846846846847	0.0367014316655702	0.859797297297297	0.975135135135135	0.115337837837838
Fold05	10	0.713188522104852	0.732442783805223	0.0825841559980016	0.583133048749728	0.810956768095467	0.227823719345739	10	0.926153153153153	0.928896396396396	0.0425479002396804	0.851891891891892	0.978378378378378	0.126486486486486
Fold06	10	0.716243197519871	0.729921111238542	0.0811139222048099	0.593923045561403	0.839724601469956	0.245801555908554	10	0.926004504504505	0.923592342342342	0.0385923760424999	0.864324324324324	0.975135135135135	0.110810810810811
Fold01	10	0.725335548484959	0.724227590722792	0.101682402568988	0.523292413410046	0.899314843778792	0.376022430368745	10	0.92215990990991	0.922240990990991	0.0368391464875361	0.864301801801802	0.972972972972973	0.108671171171171
Fold08	10	0.725213207672167	0.723564634026502	0.101662259441483	0.523394918674709	0.899314843778792	0.375919925104083	10	0.922959459459459	0.924099099099099	0.0341086733807985	0.862612612612613	0.970810810810811	0.108198198198198
Fold04	10	0.72107494662967	0.723564634026502	0.105949714563621	0.523394918674709	0.899314843778792	0.375919925104083	10	0.920918918918919	0.923040540540541	0.0399470824406695	0.853040540540541	0.973513513513514	0.120472972972973
