Feature	Mean	SD	Increase	WTSignificant
s_Agathobacter_faecis	28.3215871900992	6.88748170369322	condition.control	*
s_Agathobaculum_butyriciproducens	17.9514382144933	4.11010646207548	condition.control	*
s_Alistipes_A_indistinctus	6.95485699107061	2.32311015735373	condition.cirrhosis	*
s_Alistipes_A_pullistercoris	7.35536061872245	2.67215832443395	condition.cirrhosis	*
s_Alistipes_communis	16.538422902134	5.06334755694778	condition.control	*
s_Alistipes_putredinis	16.492700549839	NA	condition.control	*
s_Anaerobutyricum_hallii	30.821256105611	7.01491549017492	condition.control	*
s_Anaeroglobus_micronuciformis	27.7267063438728	5.08444846835344	condition.cirrhosis	*
s_Anaerostipes_hadrus	21.1489249670449	2.28628336330619	condition.control	*
s_Anaerotignum_faecicola	21.6381037436696	4.16467024502183	condition.control	*
s_Avimicrobium_caecorum	0	NA	condition.cirrhosis	*
s_Bacteroides_cellulosilyticus	11.7718735267999	NA	condition.control	*
s_Bacteroides_clarus	8.08016710128502	3.13314336000697	condition.cirrhosis	*
s_Bacteroides_eggerthii	4.7194449185541	2.44429713680307	condition.cirrhosis	*
s_Bacteroides_ovatus	27.0509224648469	6.70389446453403	condition.control	*
s_Bacteroides_thetaiotaomicron	27.097428172176	3.23285748099123	condition.cirrhosis	
s_Bacteroides_uniformis	30.9577735447746	6.87182878754181	condition.control	*
s_Bacteroides_xylanisolvens	32.2935673262695	5.33612760103081	condition.control	*
s_Bariatricus_comes	31.7164751706786	9.47815199674011	condition.control	*
s_Barnesiella_intestinihominis	10.3738860785204	NA	condition.control	*
s_Bifidobacterium_dentium	31.5919842522692	6.67450877890906	condition.cirrhosis	*
s_Bilophila_wadsworthia	16.9628202696365	3.99089529159766	condition.control	*
s_Blautia_A_faecis	18.7836465845399	6.63609472334334	condition.cirrhosis	
s_Blautia_A_sp000436615	13.1212887669415	3.02851711847596	condition.control	*
s_Blautia_A_sp900066355	7.31604649678077	3.87025627818067	condition.cirrhosis	
s_Blautia_A_wexlerae	21.0314766061861	3.59096123708805	condition.control	*
s_Butyribacter_intestini	8.76906405357234	5.17803626138847	condition.cirrhosis	*
s_Butyricimonas_paravirosa	4.61746710357379	3.6669122702029	condition.cirrhosis	*
s_CAG.245_sp000435175	3.44404308807064	2.70423879041681	condition.cirrhosis	*
s_CAG.41_sp900066215	18.187042312839	3.90708626113188	condition.control	*
s_CAG.95_sp000438155	3.46293914651738	2.83940802702834	condition.cirrhosis	*
s_Choladocola_sp003481535	15.0930985572411	2.22946355995962	condition.control	*
s_Clostridium_AQ_innocuum	26.4158012631536	7.77184601414816	condition.cirrhosis	*
s_Clostridium_P_perfringens	4.87091646885664	2.97541434494119	condition.cirrhosis	*
s_Clostridium_Q_fessum	32.6851453100318	6.22962118827738	condition.control	*
s_Clostridium_Q_symbiosum	22.0605970919111	4.67338708007899	condition.cirrhosis	*
s_Copromonas_sp900066535	28.2000282958904	5.30934346236642	condition.control	*
s_Dorea_formicigenerans	18.6994655394141	4.08074223611339	condition.control	
s_Dysosmobacter_sp001916835	17.5802014878931	4.48958726609021	condition.control	*
