Feature	Dominant	p.value	q.value
s_Agathobacter_faecis	condition.control	3.17874254870964e-08	9.96005998595687e-08
s_Agathobaculum_butyriciproducens	condition.control	0.0555262921327091	0.0614055465938195
s_Alistipes_A_indistinctus	condition.cirrhosis	8.75830027658225e-08	1.91460517674124e-07
s_Alistipes_A_pullistercoris	condition.cirrhosis	1.59056393782339e-07	3.2502828294652e-07
s_Alistipes_communis	condition.control	5.56342103807454e-11	3.53957137209301e-10
s_Alistipes_putredinis	condition.control	3.60553718195544e-08	1.05685012737007e-07
s_Anaerobutyricum_hallii	condition.control	1.13366291018862e-08	3.94682642806407e-08
s_Anaeroglobus_micronuciformis	condition.cirrhosis	1.6550377132719e-16	2.59289241745931e-15
s_Anaerostipes_hadrus	condition.control	0.00646865998700783	0.00732595227444261
s_Anaerotignum_faecicola	condition.control	6.16265209616094e-08	1.41290072448568e-07
s_Avimicrobium_caecorum	condition.cirrhosis	0.0148604146257021	0.0166295116049523
s_Bacteroides_cellulosilyticus	condition.control	3.77796408321067e-06	5.82178071839021e-06
s_Bacteroides_clarus	condition.cirrhosis	8.34183557275735e-06	1.18807961187756e-05
s_Bacteroides_eggerthii	condition.cirrhosis	4.74050058364669e-05	5.94142739817052e-05
s_Bacteroides_ovatus	condition.control	0.0719788076641504	0.0768864536412515
s_Bacteroides_thetaiotaomicron	condition.cirrhosis	0.86266456199906	0.86266456199906
s_Bacteroides_uniformis	condition.control	3.30347642223268e-08	1.00169930222539e-07
s_Bacteroides_xylanisolvens	condition.control	4.4359904804034e-05	5.63490682645837e-05
s_Bariatricus_comes	condition.control	5.32864595582168e-08	1.35376410769524e-07
s_Barnesiella_intestinihominis	condition.control	2.88138133859088e-06	4.66982492806109e-06
s_Bifidobacterium_dentium	condition.cirrhosis	2.69882019634933e-15	3.17111373071046e-14
s_Bilophila_wadsworthia	condition.control	2.65746619672474e-07	4.99603644984251e-07
s_Blautia_A_faecis	condition.cirrhosis	0.77903547191568	0.78741219742015
s_Blautia_A_sp000436615	condition.control	1.83883658456897e-05	2.46929484213547e-05
s_Blautia_A_sp900066355	condition.cirrhosis	0.295428193832714	0.301850545872555
s_Blautia_A_wexlerae	condition.control	0.0656117171322385	0.070890820809545
s_Butyribacter_intestini	condition.cirrhosis	5.27971106302514e-08	1.35376410769524e-07
s_Butyricimonas_paravirosa	condition.cirrhosis	8.87392021147787e-07	1.54471944422022e-06
