Metric	N	N_missing	Mean	Median	SD	Min	Max	Range	CV_percent
AUC	10	0	0.9385	0.9574	0.0677	0.7647	0.9951	0.2304	7.214
accuracy	10	0	0.8725	0.9	0.0886	0.7	0.9655	0.2655	10.155
kappa	10	0	0.7408	0.7982	0.18	0.3836	0.928	0.5444	24.298
MCC	10	0	0.7432	0.8	0.179	0.3845	0.9305	0.546	24.085
F1_score	10	0	0.8866	0.9091	0.0796	0.7429	0.9714	0.2285	8.978
sensitivity	10	0	0.8775	0.8824	0.0973	0.7059	1	0.2941	11.088
specificity	10	0	0.8654	0.9167	0.0963	0.6154	0.9231	0.3077	11.128
precision	10	0	0.8983	0.9375	0.0703	0.7222	0.9444	0.2222	7.826
PPV	10	0	0.8983	0.9375	0.0703	0.7222	0.9444	0.2222	7.826
NPV	10	0	0.8453	0.8571	0.1195	0.6667	1	0.3333	14.137
