Fold	AUC	accuracy	kappa	MCC	F1_score	sensitivity	specificity	precision	PPV	NPV
Fold01	0.764705882352941	0.7	0.383561643835616	0.384464525466763	0.742857142857143	0.764705882352941	0.615384615384615	0.722222222222222	0.722222222222222	0.666666666666667
Fold02	0.898190045248869	0.766666666666667	0.537444933920705	0.548327067288672	0.774193548387097	0.705882352941177	0.846153846153846	0.857142857142857	0.857142857142857	0.6875
Fold03	0.930555555555556	0.833333333333333	0.657534246575343	0.659082043657308	0.857142857142857	0.833333333333333	0.833333333333333	0.882352941176471	0.882352941176471	0.769230769230769
Fold04	0.995098039215686	0.96551724137931	0.928039702233251	0.930451901358013	0.971428571428571	1	0.916666666666667	0.944444444444444	0.944444444444444	1
Fold05	0.963800904977376	0.933333333333333	0.864253393665158	0.864253393665158	0.941176470588235	0.941176470588235	0.923076923076923	0.941176470588235	0.941176470588235	0.923076923076923
Fold06	0.941176470588235	0.9	0.798206278026906	0.800018180142489	0.909090909090909	0.882352941176471	0.923076923076923	0.9375	0.9375	0.857142857142857
Fold07	0.985294117647059	0.96551724137931	0.928039702233251	0.930451901358013	0.971428571428571	1	0.916666666666667	0.944444444444444	0.944444444444444	1
Fold08	0.968325791855204	0.9	0.798206278026906	0.800018180142489	0.909090909090909	0.882352941176471	0.923076923076923	0.9375	0.9375	0.857142857142857
Fold09	0.986425339366516	0.933333333333333	0.864253393665158	0.864253393665158	0.941176470588235	0.941176470588235	0.923076923076923	0.941176470588235	0.941176470588235	0.923076923076923
Fold10	0.950980392156863	0.827586206896552	0.648910411622276	0.650516096306267	0.848484848484849	0.823529411764706	0.833333333333333	0.875	0.875	0.769230769230769
