Model_Fold	MCC_N	MCC_Mean	MCC_Median	MCC_SD	MCC_Min	MCC_Max	MCC_Range	AUC_N	AUC_Mean	AUC_Median	AUC_SD	AUC_Min	AUC_Max	AUC_Range
Fold06	10	0.793600433363642	0.832135786903824	0.143854963227314	0.457013574660633	0.930451901358013	0.473438326697379	10	0.9483953410424	0.971719457013575	0.0656604219202363	0.773755656108597	1	0.226244343891403
Fold09	10	0.79235054950303	0.832135786903824	0.127697425856736	0.530349130656257	0.930451901358013	0.400102770701756	10	0.950299564270152	0.970588235294118	0.064373823279711	0.771493212669683	0.985294117647059	0.213800904977375
Fold04	10	0.777018780147395	0.830322098208869	0.166135267772942	0.457013574660633	0.934852704885605	0.477839130224972	10	0.948813264622088	0.969079939668175	0.0617399769851761	0.782805429864253	1	0.217194570135747
Fold08	10	0.763547824865413	0.800018180142489	0.164439238570598	0.384464525466763	0.934852704885605	0.550388179418843	10	0.949771660801073	0.96210407239819	0.060637397921181	0.787330316742081	0.995475113122172	0.208144796380091
Fold10	10	0.770236283604925	0.800018180142489	0.151588643901834	0.457013574660633	0.934852704885605	0.477839130224972	10	0.949769565946037	0.953902714932127	0.0569016554635588	0.800904977375566	1	0.199095022624434
Fold03	10	0.786735361939941	0.798204491447535	0.159310606722581	0.457013574660633	1	0.542986425339367	10	0.954750083794201	0.97209653092006	0.0593205986824578	0.796380090497738	1	0.203619909502262
Fold05	10	0.764276357771407	0.798204491447535	0.163469445306633	0.457013574660633	0.934852704885605	0.477839130224972	10	0.953391570303335	0.971907993966817	0.0623119202932329	0.782805429864253	0.995475113122172	0.212669683257919
Fold02	10	0.739837681004059	0.769979126769216	0.16704024295248	0.384464525466763	0.930451901358013	0.54598737589125	10	0.947094436065024	0.970588235294118	0.0631625386693034	0.778280542986425	0.995475113122172	0.217194570135747
Fold07	10	0.765744141537753	0.764262483736403	0.146778600327991	0.530349130656257	0.934852704885605	0.404503574229348	10	0.953257499581029	0.975113122171946	0.0603700618461618	0.787330316742081	0.990196078431373	0.202865761689291
Fold01	10	0.743571670697174	0.764262483736403	0.176369483775186	0.384464525466763	0.930451901358013	0.54598737589125	10	0.947838109602815	0.967006033182504	0.0619799601828213	0.787330316742081	1	0.212669683257919
